Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",28.0,35.0,25.0,29.333333333333332
menghubungkan dan dapat dipakai untuk melakukan tukar menukar informasi di antara peralatan peralatan ,30.0,60.0,50.0,46.666666666666664
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. spesifiksi dari peralatan bluetooth ini dikembangkan dan didistribusikan oleh kelompok bluetooth special interest group. ,35.0,85.0,50.0,56.666666666666664
menstransfer data melalui ponsel ,10.0,25.0,10.0,15.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,80.0,50.0,53.333333333333336
bluetooth merupakan media untuk transfer data ,28.0,25.0,25.0,26.0
bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya. ,33.0,30.0,25.0,29.333333333333332
blue = biru tooth= gigi jadi gigi biru ,0.0,0.0,0.0,1.0
bluetooth adalah spesifikasi industri untuk untuk jaringgan dengan kawasan pribadi ,12.0,20.0,25.0,19.0
bluetooth adalah spesifikasi industri untuk jaringan dengan kawasan pribadi / pan tanpa kabel yang berfungsi untuk melakukan tukar menukar informasi antara gadget yang memiliki konektivitas bluetooth. ,28.0,60.0,50.0,46.0
bluetooth adalah gigi biru atau biasa digunakan untuk menghubungan perangkat elektronik yang ingin bertukar data. ,28.0,30.0,25.0,27.666666666666668
penghubung nirkabel antar device dengan jarak jangkauan yang terbatas dan sempit. ,8.0,10.0,10.0,9.333333333333334
spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,25.0,40.0
fitur transfer data dengan jarak tertentu tanpa koneksi internet ,18.0,20.0,25.0,21.0
bluetooth adalah media pengiriman yang menggunakan frequensi tertentu ,20.0,25.0,25.0,23.333333333333332
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,50.0,48.333333333333336
spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,50.0,48.333333333333336
bluetuooth suatu software yang di gunakan untuk mentrasnfer data tanpa menggunakan peralatan - peralatan bantuan seperti kabel. ,38.0,30.0,25.0,31.0
blue=biru tooth=gigi jadi gigi biru ,0.0,0.0,0.0,1.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan ,30.0,40.0,25.0,31.666666666666668
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel ,28.0,30.0,25.0,27.666666666666668
media share data tanpa kabel ,20.0,20.0,25.0,21.666666666666668
bluetooth adalah spesifikasi industri untuk jaringan pribadi tanpa kabel ,26.0,25.0,25.0,25.333333333333332
bluetooth adalah sebuah media yang di gunakan untuk berbagi (share) data. ,28.0,25.0,25.0,26.0
adalah sebuah sisstem yang berfungsi untuk transfer file atau data tanpa melalui kabel ,30.0,25.0,25.0,26.666666666666668
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,45.0,50.0,41.666666666666664
digunakan untuk mengirim/ mentrasfer data atau file ,28.0,30.0,25.0,27.666666666666668
"bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. fungsi bluetooth yaitu untuk mempermudah berbagi atau sharing file, audio, menggantikan penggunaan kabel dan lain-lain. saat ini sudah banyak sekali perangkat yang menggunakan bluetooth. ",40.0,55.0,50.0,48.333333333333336
suatu teknologi untuk menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,20.0,35.0,25.0,26.666666666666668
bluetooth adalah personal area network yang terhubung dengan jarak beberapa meter untuk pengaksesan ke hubungan jaringan. menggunakan teknologi infra red ,15.0,15.0,25.0,18.333333333333332
spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,45.0,50.0,41.666666666666664
"sebagai teknologi komunikasi wireless (tanpa kabel) yang beroperasi dalam pita frekuensi 2,4 ghz unlicensed ism (industrial, scientific and medical) dengan menggunakan sebuah frequency hopping tranceiver yang mampu menyediakan layanan komunikasi data dan suara secara real-time antara host-host bluetooth dengan jarak jangkauan layanan yang terbatas yakni sekitar 10 meter. ",20.0,35.0,25.0,26.666666666666668
digunakan untuk transfer data berupa file dan data ,33.0,30.0,25.0,29.333333333333332
bluetooth adalah koneksi ke bluetooth lain tanpa kabel ,28.0,15.0,25.0,22.666666666666668
