Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"- donut, - eclair - ginggerbread - honeycomb - icecream sandwich - jellybean - kitkat - lollipop - marsmallow ",79.0,50.0,75.0,68.0
"jelly beans, lollypoop ",10.0,10.0,10.0,10.0
cupcake. gingerbread. jellybean. kitkat. lolipop. marshmellow. ,30.0,40.0,25.0,31.666666666666668
- android cupcake - android donut - android eclair - android froyo - android jellybean,35.0,50.0,50.0,45.0
-cupcake -donut -eclair -froyo -gingerbread -honeycomb -ice cream sandwich -jelly bean -kitkat,93.0,80.0,90.0,87.66666666666667
"cupcake, donut, eclair, froyo, gingerbread, honeycomb, ice cream sendwich, jelly bean, kitkat, lollipop, marsmellow ",86.0,98.0,90.0,91.33333333333333
cupcake - doughnut - eclair - froyo - gingerbread - honeycomb - ice cream sandwich - jellybean - kitkat - lollipop - marshmallow. ,70.0,95.0,90.0,85.0
"android, beta, centa, delta, entiti ,fair ,game ,have ,int ,juanda, kitkat, lolipop. ",7.0,20.0,10.0,12.333333333333334
"cupcake, donut, eclair, froyo, gingerbread,honeycomb, ice cream sandwich, jellybean, kitkat, lollipop, marshmellow, nuttelo. ",79.0,95.0,90.0,88.0
- cupcake - donut - friyo - ginger bread - ice creamsinwich - jelly bean - kitkat - lolipop - marsmallow - nutella,76.0,75.0,75.0,75.33333333333333
- donut (1.6) - eclair (2.0–2.1) - froyo (2.2–2.2.3) - gingerbread (2.3–2.3.7) - honeycomb (3.0–3.2.6) - ice cream sandwich (4.0–4.0.4) - jelly bean (4.1–4.3) - kitkat (4.4+). ,50.0,75.0,75.0,66.66666666666667
cupcake donut eclair froyo ginger bread honeycamb ice cream sandwich jelly bean kit kat lollipop marshmallow ,86.0,90.0,90.0,88.66666666666667
"jelly bean, kit-kat ",18.0,15.0,25.0,19.333333333333332
"android beta, android 1.1 (bender), android 1.5 cupcake, android 1.6 donut, android 2.0/2.1 encla, android 2.3 gingerbread, android 2.2 frozen yoghurt (froyo), android 3.0/3.1 honeycomb, android 4.0 ice cream sandwich, ",30.0,50.0,50.0,43.333333333333336
- donut (androidversi 1.6) - eclair (android versi 2.0 - 2.1) - froyo (android versi 2.2 - 2.2.3) - gingerbread (android versi 2.3 - 2.4) - honeycomb (android versi 3.0 - 3.2) - ice cream sandwich (android versi 4.0) - jelly bean (android versi 4.1 - 4.3),50.0,65.0,50.0,55.0
"cupcake , donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, dan kitkat. ",93.0,80.0,90.0,87.66666666666667
- cupcake (android versi 1.2 - 1.5) - donut (androidversi 1.6) - eclair (android versi 2.0 - 2.1) - froyo (android versi 2.2 - 2.2.3) - gingerbread (android versi 2.3 - 2.4) - honeycomb (android versi 3.0 - 3.2) - ice cream sandwich (android versi 4.0) - ,40.0,70.0,50.0,53.333333333333336
"cupcake (1.5), donut (1.6), eclair (2.0–2.1), froyo (2.2–2.2.3), gingerbread (2.3–2.3.7), honeycomb (3.0–3.2.6), ice cream sandwich (4.0–4.0.4), jelly bean (4.1–4.3), dan kitkat (4.4+), lollipop 5.0 ",50.0,90.0,75.0,71.66666666666667
"cupcake, donut), eclair, froyo, gingerbread), honeycomb, ice cream sandwich, jelly bean, kitkat, lollipop, marsmellow ",86.0,98.0,90.0,91.33333333333333
"cupcake, donut, eclair , froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, dan kitkat ",93.0,80.0,90.0,87.66666666666667
"ice cream, jelly bean, gingerbread ",35.0,30.0,25.0,30.0
"cupcake,donat,eclaire,froyo,gingabeard,honeycomb,ice cream sandwich,jellybeans,kitkat,lolipop,,martabak ",79.0,75.0,75.0,76.33333333333333
"android donat, ecliyer, froyo, gingabread, ice cream sandwith, jellybean, kitkat, lolypop, marshmallo ",72.0,45.0,50.0,55.666666666666664
"donut, eclaire, froyo, ginggerbread, honeycomb, ice cream sandwich, jellybean, kitkat, lollipop, marshmallow ",86.0,95.0,90.0,90.33333333333333
android 1.5 cupcake (api level 3) android 1.6 donut (api level 4) android 2.0 eclair (api level 5) android 2.0.1 eclair (api level 6) android 2.1 eclair (api level 7) android 2.2–2.2.3 froyo (api level 8) android 2.3–2.3.2 gingerbread (api level 9) android 2.3.3–2.3.7 gingerbread (api level 10) android 3.0 honeycomb (api level 11) android 3.1 honeycomb (api level 12) android 3.2 honeycomb (api level 13) android 4.0–4.0.2 ice cream sandwich (api level 14) android 4.0.3–4.0.4 ice cream sandwich (api level 15) android 4.1 jelly bean (api level 16) android 4.2 jelly bean (api level 17) android 4.3 jelly bean (api level 18) android 4.4 kitkat (api level 19) android 5.0 lollipop (api level 21) android 6.0 marshmallow (api level 22) ,20.0,100.0,90.0,70.0
android cupcake versi curve ,7.0,5.0,10.0,7.333333333333333
"android versi 1.0 (astro) , android versi 1.1 (bender) , android versi 1.5 (cupcake) , android versi 2.3 (gingerbread) , android versi 4.0 (ics: ice cream sandwich) , android versi 4.1 (jelly bean) , android versi 4.4 (kitkat) ",40.0,40.0,50.0,43.333333333333336
"donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kit kat, lollipop, marshmallow ",75.0,88.0,90.0,84.33333333333333
"cupcake (1.5), donut (1.6), eclair (2.0–2.1), froyo (2.2–2.2.3), gingerbread (2.3–2.3.7), honeycomb (3.0–3.2.6), ice cream sandwich (4.0–4.0.4), jelly bean (4.1–4.3), dan kitkat (4.4+) ",50.0,75.0,75.0,66.66666666666667
"cupcake, donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jellybean, kitkat, marshmallow ",84.0,90.0,90.0,88.0
"donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kitkat, lollipop,marshmallow ",84.0,90.0,90.0,88.0
android cupcake ,10.0,10.0,10.0,10.0
-ics -jellybean -kitkat -lilipop -mashmellow,14.0,45.0,25.0,28.0
