Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"tendangan utama, tendangan pembuka pertandingan, tendangan umpan pertama ",20.0,25.0,25.0,23.333333333333332
para pemain sudah siap dan berada pada posisi di lapangan ,0.0,0.0,0.0,1.0
"awal babak pertama, awal babak kedua, setelah dilakukannya penalti. ",40.0,35.0,50.0,41.666666666666664
"corner, free kick, pinalty. ",0.0,0.0,0.0,1.0
"-biasnya wasit melakukan pengecekan pada jaring gawang, kelengkapan pemain dan status pemain kedua tim. -mengecek kondisi lapangan apakah layak untuk melakukan kickoff.",0.0,0.0,0.0,1.0
pertandingan sudah siap dan akan dimulainya pertandingan ,30.0,25.0,25.0,26.666666666666668
- perangkat pertandingan sudah dinyatakan siap. - terdapat 2 tim yang bertanding dalam 2 x 45 menit - cuaca mendukung jalannya pertandingan. ,10.0,15.0,10.0,11.666666666666666
- kedua kubu sudah siap - pelatih dan officialnya sudah siap - lapangan sudah siap dan tidak ada masalah,0.0,30.0,0.0,10.0
- memulai babak pertama - memulai babak kedua - apabila terjadi water break - apabila terjadi goal,70.0,75.0,75.0,73.33333333333333
kick off: tendangan yang dilakukan untuk memulai babak pertama/kedua dalam suatu pertandingan ,40.0,30.0,50.0,40.0
kick off adalah teknik dalam memulai suatu permainan dan akan dilakukan bila terjadi hal berikut memulai pertandingan terjadinya sebuah gol memulai babak yang kedua memulai babak extra time ,70.0,80.0,75.0,75.0
-menunggu peluit -melakukan tendangan pertama -mengumpan bola ke belakang setelah peluit,20.0,20.0,25.0,21.666666666666668
kick off dapat dilakukan dalam kondisi berikut: - memulai pertandingan - terjadinya gol - memulai babak kedua - memulai babak perpanjangan waktu ,90.0,90.0,90.0,90.0
"lapangan sepak bola,peraturan penggunaan bola,peraturan jumlah pemain sepak bola ",0.0,0.0,0.0,1.0
- awal permainan babak pertama - bola masuk ke gawang - dimulainya babak kedua,50.0,55.0,50.0,51.666666666666664
lapanga yang memadai lampu yang cukup kursi penonton ,0.0,0.0,0.0,1.0
-lapangan yang memadai -lampu yang cukup -kursi penonton,0.0,0.0,0.0,1.0
"semua pemain atau team sudah siap melakukan pertandingan, tidak ada kendala di dalam stadion, wasit meniup pluit tanda kick off ",10.0,10.0,10.0,10.0
"saat pertama kali dimulai, dan babak ke 2 ",20.0,25.0,25.0,23.333333333333332
"pemain sudah siap, kondisi stadion aman, wasit dan hakim garis sudah siap. ",0.0,0.0,0.0,1.0
"kedua tim telah siap di lapangan, tidak adanya suporter yang masuk kedalam lapangan, sistem keamanan memadai ",0.0,0.0,0.0,1.0
siap syarat -syarat terpenuhi terdapat pemain ,0.0,0.0,0.0,1.0
- bola harus di tendang ke spot musuh - fair play - ada wasit,8.0,5.0,10.0,7.666666666666667
"hands ball , fre kick , terkena kartu ",0.0,0.0,0.0,1.0
pemain yang masuk lapangan. wasit. serta perwakilan pengawas pertandingan dari asosiasi sepakbola yang ada di negara nya ,0.0,0.0,0.0,1.0
"pemain lengkap, wasit ada, perlengkapan siap ",0.0,0.0,0.0,1.0
"peraturan jumlah pemain sepak bola harus lengkap peraturan dalam memakai aksesoris seperti jersey sepatu dll wasit, asisten wasit dan pengamat pertandingan harus siap seluruh pemain siap ",10.0,0.0,0.0,3.3333333333333335
"lapangan sepak bola, peraturan penggunaan, jumlah pemain. ",5.0,0.0,0.0,1.6666666666666667
1. pelanggaran 2. offside 3. memperoleh kartu ,0.0,0.0,0.0,1.0
-offside -faul -corner kick,0.0,0.0,0.0,1.0
