Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
-membuat list barang belanjaan yang diperlukan -langsung menuju ke tempat barang yang diinginkan -ingat untuk selalu memanage uang belanja -tidak melihat-lihat barang lain yang ada di list -mengecek apakah barang yang dibeli sudah sesuai dengan yang ada di list -menghitung ulang jika barang sudah dibeli,35.0,35.0,25.0,31.666666666666668
-membuat list daftar barang belanja -mebawa uang secukupnya -memilih harga yang tidak terlalu mahal tapi juga tidak murahan -mengecek ulang barang belanja sebelum dibayar -sebaiknya belanja di tempat yang sudah terpercaya -memilih barang yang kualitasnya bagus dan bermutu,40.0,32.0,50.0,40.666666666666664
"sesuai kebutuhan, lihat harga terlebih dahulu, lihat kualitas barang, budget, mencari tempat yg murah ",28.0,25.0,25.0,26.0
"belanja sesuai kebutuhan, belanja sesuai budget, cari tempat yang nyaman, cari tempat yang murah, hindari belanja sendirian, pilih barang dengan kualitas bagus. ",47.0,29.0,50.0,42.0
"e-shopping, tanya teman tempat yang bagus untuk belanja, cari di internet barang yang dibutuhkan. ",19.0,15.0,25.0,19.666666666666668
"-cari barang dengan harga terjangkau, -berkualitas baik, -benar benar dibutuhkan, -awet, tidak mudah rusak, -kredit, asal tak keberatan dalam mengambil cicilan, -sesuai dengan kegunaan. ",42.0,40.0,50.0,44.0
memilih barang sesuai dengan kebutuhan ,18.0,10.0,10.0,12.666666666666666
- mengetahui barang apa yang kita butuhkan sekarang. - mencari referensi barang sebelum membeli. - menyiapkan uang untuk belanja sesuai kebutuhan kita. - membandingkan barang dari berbagai toko. - waspada terhadap penipuan. - cek terlebih dahulu kondisi barang yang akan kita beli.,41.0,31.0,50.0,40.666666666666664
- belanja online - belanja dengan menggunakan kartu atm - belanja dengan menggunakan kartu kredit - belanja sesuai kebutuhan - belanja barang yang halal - belanja di toko yang terpercaya atau resmi,17.0,20.0,25.0,20.666666666666668
"melist barang belanjaan, mengemat, melihat kebutuhan bukan keinginana ",22.0,20.0,25.0,22.333333333333332
6 cara belanja yang baik dan efektif : - membawa uang secukupnya - mencatat kebutuhan yang akan dibeli - mencari barang diskon - jangan mudah tergoda diskon - membuat skala prioritas - ingat tanggungan yang akan dipenuhi ,32.0,25.0,25.0,27.333333333333332
- membawa daftar belanja - menentukan barang pokok yang wajib dibeli - tidak membawa uang berlebihan - ek tanggal kadaluarsa - membandingkan kegunaan untuk kedepan - cari barang diskon,38.0,28.0,25.0,30.333333333333332
-belanja seperlunya -membuat list barang yang akan di beli terlebih dahulu -cari barang yang murah tapi berkualitas -cari yang diskon -jangan terpengaruh bujukan spg -cari yang beli 2 gratis 1 ,40.0,25.0,50.0,38.333333333333336
- buat daftar belanja - bawa budget pas sesuai kebutuhan - hindari pembayaran dengan kartu kredit atau debit - disiplin dengan daftar belanja yang sudah dibuat - langsung pulang setelah belanja - catat pengeluaran belanja ada,36.0,37.0,25.0,32.666666666666664
"membuat daftar belanjaan,bandingkan sebelum membeli,jangan mudah tergiur dengan diskon,cerdas memilih ukuran produk,selalu membawa daftar belanjaan,membawa uang yang cukup ",40.0,35.0,25.0,33.333333333333336
"- buatlah list barang apa saja yang harus anda beli. letakkan daftar barang yang paling primer (paling anda butuhkan) hingga kebutuhan sekunder di paling bawah. - kalau anda sudah memiliki anak, utamakan kebutuhan anak anda terlebih dahulu. terlebih susu dan popok bayi kalau buah hati anda masih kecil. - bandingkan dulu komposisi, kualitas, dan kuantitas barang sebelum anda beli. - jangan mudah tergiur barang-barang diskon - pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran. - selalu bawa catatan dan bolpen di samping anda, dengan begini anda bisa memberi harga pada setiap barang yang anda beli.",70.0,60.0,75.0,68.33333333333333
"- buatlah list barang apa saja yang harus anda beli - kalau anda sudah memiliki anak, utamakan kebutuhan anak anda terlebih dahulu - bandingkan dulu komposisi, kualitas, dan kuantitas barang sebelum anda beli - jangan mudah tergiur barang-barang diskon - pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran - selalu bawa catatan dan bolpen di samping anda, dengan begini anda bisa memberi harga pada setiap barang yang anda beli",80.0,65.0,75.0,73.33333333333333
"-buatlah list barang apa saja yang harus anda beli - kalau anda sudah memiliki anak, utamakan kebutuhan anak anda terlebih dahulu - bandingkan dulu komposisi, kualitas, dan kuantitas barang sebelum anda beli - jangan mudah tergiur barang-barang diskon -pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran. -selalu bawa catatan dan bolpen di samping anda",74.0,65.0,75.0,71.33333333333333
"pilih barang sesuai kebutuhan, cek barang yang akan di beli, cek kadaluarsa barang, hindari belanja online jika tidak mengerti, beli barang sesuai uang yang dibawa, hindari membeli barang secara terburu-buru ",47.0,38.0,50.0,45.0
"-jangan membawa uang berlebihan, bawalah secukupnya -buatlah daftar barang yang kan di beli, agar lebih mudah -jika sudah di toko langsung cari barang yang dibutuhkan -jika ada, carilah barang yang beli dua gratis satu -carilah toko yang memberikan diskon -jika punya indom--ret card gunakanlah karena lebih murah",38.0,45.0,50.0,44.333333333333336
"tentukan daftar belanja, sedia uang belanja, tentukan waktu belanja, tentukan tempat belanja, perhitungkan harga belanja. ",27.0,30.0,25.0,27.333333333333332
"memiih barang sesuai dengan keinginan, memilih barang berdasarkan uang yang dimiliki, memilih kualitas barang yang baik, mengerti dengan betul merek yang baik dan harganya bersahabat,memilih tempat yang sesuai keinginan, menjadwalkan barang yang ingin di beli debelum datang ke pusat perbelanjaan ",37.0,28.0,25.0,30.0
- di list terlebih dahulu barang yang ingin dibeli -memperhitungkan total pengeluaran -mentarget pengeluaran -mencari barang yang berdiskon -hanya membeli barang yang sangat dibutuhkan saja -bergaransi,30.0,25.0,25.0,26.666666666666668
- kepasar cari yg murah - beli barang yg di inginkan - harga mahal tinggal - tidak usah tawar menawar - beli jika punya uang - jangan terlalu lama belanja,25.0,23.0,25.0,24.333333333333332
"membuat daftar belanjaan , tidak membeli barang tidak berguna, membawa uang pas, memilih barang yang tepat ",22.0,20.0,25.0,22.333333333333332
tidak membawa uang terlalu banyak. membuat list barang yang akan dibeli sebelum berbelanja. tidak melihat lihat ke tempat yang bukan tujuannya ,25.0,24.0,25.0,24.666666666666668
"sesuai kebutuhan, tidak boros, tidak terlalu lama, membawa kantong sendiri, utamakan prioritas utama ",18.0,15.0,25.0,19.333333333333332
memikirkan waktu dan budget pilih yang diperlukan(butuh) lokasi yang strategis ,10.0,10.0,10.0,10.0
tidak boros. membeli hal-hal yang perlu. merencanakan apa saja sebelum membeli. tidak buang-buang waktu. ,21.0,15.0,25.0,20.333333333333332
1. memilih barang yg terbaik 2. pintar menawar jika di pasar tradisional 3. menggunakan tas belanja 4. belanja di saat pagi hari atau sore 5. membawa uang yg cukup 6. membawa atm ,18.0,25.0,25.0,22.666666666666668
-tawar menawar -beli yang perlu saja -beli yang murah tapi berkualitas -jangan beli yang terlalu mahal -beli untuk keperluan saja -hindari rayuan dari pedagang,30.0,20.0,25.0,25.0
