Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"dari penelitian-penelitian efek pikiran positif terhadap gen yang menjadi sumber utama pertumbuhan dan fungsi sel, maka dapat ditarik satu pengetahuan baru yakni emosi positif dapat memicu tombol genetik. jika tubuh dapat direpresentasikan sebagai sistem yang terdiri dari mental/batin/pikiran dan tubuh/fisik/dna, maka antara tubuh dan batin akan memiliki hubungan saling terkait (dependence relationship). untuk manusia secara umum, maka ketika mentalnya bermasalah (stress, tegang, takut), maka fisiknya pun akan terganggu. fisiknya akan mudah terserang penyakit dan bibit penyakit. begitu juga sebaliknya, jika seseorang mengalami penderitaan fisik, maka hal tersebut dapat mempengaruhi batin atau mentalnya. ",20.0,40.0,25.0,28.333333333333332
dengan berfikir positif biasa mempengaruhi pemikiran seseorang dimana ketika pemikiran seseorang tersebut baik (positfi) akan berpengaruh pada kualitas hidup yang sehat ,22.0,20.0,25.0,22.333333333333332
"jika seseorang selalu berpikiran positif, maka kemungkinan untuk menjaga kesehatan tubuh lebih besar. dengan demikian orang yang selalu berpikiran positif, akan terlihat lebih sehat dan jarang terkena penyakit. ",26.0,25.0,25.0,25.333333333333332
bila kita berfikir positif maka hal hal yang kita lakukan akan menjadi positif. dan pola hidup kita menjadi sehat dikarenakan sikap dalam mengambil tindakan menjadi lebih jernih ,25.0,25.0,25.0,25.0
berfikir positif adalah cara hidup sehat bagi manusia ,18.0,10.0,10.0,12.666666666666666
dengan berpikir positif kita menjadi lebih optimis dalam menjalani hidup dan tidak mudah berputus asa sehingga kehidupan menjadi lebih bermakna. ,20.0,25.0,25.0,23.333333333333332
"makan makanan yang membuat tubuh sehat, melakukan kegiatan yang membuat tubuh sehat, memikirkan hal hal yang positif, berbicara hal hal yang positif, mendengar hal hal positif. ",22.0,37.0,25.0,28.0
"membiasakan diri dengan rutin berolahraga, makan makanan bergizi, kurangi makan makanan berlemak. ",12.0,24.0,25.0,20.333333333333332
dengan berolahraga menjaga pola makan ,10.0,15.0,10.0,11.666666666666666
ketika kita selalu berfikiran positif maka secara otomatis tubuh kita akan ikut menjadi lebih sehat. ,15.0,30.0,25.0,23.333333333333332
berfikir positif dapat mengeluarkan energi positif ,18.0,20.0,25.0,21.0
berfikir positif dapat menyebabkan hidup yang sehat. karena pikiran tidak terfosir memikirkan hal-hal yang tidak di inginkan. ,28.0,25.0,25.0,26.0
"karena orang-orang sukses adalah orang-orang yang memiliki pola pikir positif, maka untuk masuk dan dapat diterima dengan respon positif, anda harus positif pula. orang-orang yang berpikir positif adalah pribadi yang tidak pernah ngotot mempertahankan pendapatnya sendiri, berani mengakui kekurangan, kesalahan dan kelemahannya. dan orang-orang yang selalu optimis, memiliki daya tahan mental dan tidak pernah larut dalam keputusasaan. pameo lama mengatakan : dalam tubuh yang sehat terdapat jiwa yang sehat ",30.0,40.0,50.0,40.0
hgfguisehufeigfiuegfeiu ,0.0,0.0,0.0,1.0
"menciptakan pola pikir positif dapat mengarah pada kesehatan yang lebih baik, membantu anda hidup sehat, dan membantu anda menarik kesuksesan dan kesempatan, dan bahkan cinta ke dalam hidup anda. ",18.0,20.0,25.0,21.0
"berpikiran positif akan memberikan dampak yang luar biasa yaitu: - terhindar dari stres, dengan mengontrol hidup dan pikiran kita untuk selalu berpikiran positif maka hidup kita akan menjadi lebih rileks dan terhindar dari stres. - tubuh menjadi lebih sehat, berpikiran positif sangat berkaitan erat dengan kesehatan karena rasa takut, cemas, iri, cemburu dan masalah buruk lainnya membuat metabolisme tubuh menjadi terganggu sehingga mengakibatkan timbulnya penyakit. - lebih percaya diri, saat kita berpikiran positif maka pikiran-pikiran buruk akan lebih mudah kita singkirkan sehingga kita menjadi lebih optimis dan percaya diri. - lebih mudah untuk sukses, jika kita selalu berpikiran positif dalam menghadapi suatu keadaan maka pikiran kita lebih mudah untuk menimbang baik buruknya keputusan yang kita ambil sehingga kita lebih bijak dan memberikan solusi yang tepat dan untuk masa depan maka hidup kita akan menjadi lebih sukses dan berhasil. - lebih fokus, saat kita mengerjakan sesuatu dengan selalu berpikiran positif maka pikiran kita menjadi lebih jernih sehingga akan lebih mudah fokus dalam mengerjakan sesuatu sehingga hidup kita lebih terorganisir dan manfaatnya kita bisa lebih mudah mengatur waktu dalam hidup kita. - lebih berani, saat kita berpikiran positif maka kita akan mengubah pikiran-pikiran yang dapat melemahkan hidup kita menjadi sesuatu hal yang positif sehingga lebih berani saat menghadapi sesuatu. - lebih banyak teman, saat kita selalu berpikiran positif maka secara otomatis keluarga dan teman-teman kita akan lebih senang berada dekat dengan kita dan membuat kita mempunyai banyak teman dan sahabat yang menyayangi kita. - hidup akan lebih bahagia, berpikiran positif membuat kita selalu bisa bergembira, senang, tertawa bahkan bisa membantu orang-orang disekitar kita yang sedang mengalami persoalan dan tentunya hidup kita menjadi lebih berarti baik bagi diri sendiri, keluarga maupun teman-teman disekeliling kita. ",55.0,60.0,75.0,63.333333333333336
selalu berifikir positif di segala situasi apapun ,10.0,5.0,10.0,8.333333333333334
agar kita menjadi pribadi yang potif yg memiliki jiwa dan raga yang lebih sehat dan memiliki prestasi ,16.0,10.0,10.0,12.0
"hubungan berfikur positif dengan hidup sehat adalah jika kita berfikir positif maka kita bisa terhindar dari setres, emosi, dan selain itu bisa membuat umur kita panjang ",40.0,30.0,50.0,40.0
jika kita berpikir positif maka akan terhindar dari stres dan umur yang panjang ,35.0,25.0,25.0,28.333333333333332
dapat menjaga segala macam penyakit. ,5.0,2.0,10.0,5.666666666666667
"mengelola stress dengan baik, jiwa dan raga lebih sehat, mengatasi masalah dengan tepat, hidup lebih terarah. kenapa bisa begitu,, karena dalam tubuh yang sehat terdapat jiwa yang kuat. ",22.0,30.0,25.0,25.666666666666668
berfikir positif sangat berhubungan dengan pola hidup sehat karena dari berfikir yang positif akan bisa menjadikan hidup yang sehat karena tidak terjadi beban fikiran. ,29.0,40.0,50.0,39.666666666666664
berfikir positif terhadap pola hidup sehat yaitu dalam pikiran yang positif akan menimbulkan sikap untuk memiliki pola hidup sehat sebaliknya jika pikiran negatif pasti memilih pola hidup yang tidak sehat ,32.0,40.0,50.0,40.666666666666664
-lebih berprestasi -jiwa dan raga lebih sehat -memiliki banyak teman -mengatasi masalah dengan tepat -terhindar dari ceroboh -hidup lebih terarah -hubungan keluarga dan pasangan yang harmonis -menjadi pribadi pemberani -menjadi diri sendiri -pribadi yang pantang menyerah -memiliki sikap lapang dada ,23.0,35.0,25.0,27.666666666666668
menghindari pemikiran yg bersifat negatif ,5.0,5.0,10.0,6.666666666666667
bila kita berpikir selalu positif tubuh kita akan merespon dengan perilaku dan pola hidup kita menjadi sehat ,22.0,25.0,25.0,24.0
"pikiran positif dapat memberi sugesti yang baik pada tubuh, sehingga tubuhpun dapat menjalani pola hidup sehat ",28.0,25.0,25.0,26.0
secara psikologi berfikir positif mampu meningkatkan kepercayaan diri yang akan berakibat baik pada sistem kekebalan tubuh. sehingga pola hidup sehat akan terjaga karena fikiran yang selalu positif dan tidak cenderung pada suatu hal negatif. ,48.0,40.0,50.0,46.0
positive thinking ,0.0,3.0,0.0,1.0
membuat kita berfikiran jernih dan sehat ,10.0,5.0,10.0,8.333333333333334
bila berfikir positif sadar atau tidak sadar pola hidup kita akan sehat. hal ini sangat berhubungan karena bila pikiran sehat maka bila akan melakukan sesuai akan secara hati-hati dan tidak asal ambil keputusan ,22.0,20.0,25.0,22.333333333333332
