Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satu2 salah pebalap muda berpotensi wakil asia ajang formula depan3 2011 rio berpartisipasi ajang seri gp3 tim marussia manor racing seri auto gp tim driotarnoux motorsport dams mengawali kariernya balap gokart 2002 juara nasional gokart kelas kadet tanggal 18 februari 2016 manor racing tim balap f1 resmi mengumumkan rio haryanto pebalapnya musim 2016 mendampingi pascal wehrlein rio pebalap indonesia berkiprah ajang bergengsi,70.0,85.0,90.0,81.66666666666667
rio haryanto lahir solo 22 januari 1993 pembalap kebangsaan indonesi pembalap f1 tim manor racing,45.0,39.0,50.0,44.666666666666664
rio haryanto pembalap f1 berasal indonesia lahir solo jawa tenga tanggal 22 januari 1993 tim manor racing team karir juara nasional gokart kelas kadet,75.0,69.0,75.0,73.0
rio hariyanto beliau atlet cabang olahraga bulu tangkis,10.0,5.0,10.0,8.333333333333334
pembalap f1 internasional,20.0,25.0,25.0,23.333333333333332
rio lahir solo tim manor karir formula renault asia 2009,40.0,38.0,50.0,42.666666666666664
rio haryanto pembalap formula one berasal indonesia menang mewakili indonesia,45.0,30.0,50.0,41.666666666666664
rio haryanto lahir 1992 solo karir mengikuti balap mobil amatir tim mrt manor racing team,43.0,30.0,50.0,41.0
solo 22 januari 1993 tim f1 manor racing,30.0,25.0,25.0,26.666666666666668
rio lahir solo jawa 22 januari 1993 membela tim manor racing ajang f1 karirnya rio mengikuti ajang formula asia 20 mengikuti kejuaraan dunia rio menembus tim f1,45.0,30.0,50.0,41.666666666666664
rio haryanto atlet pembalap f1 kali indonesia asia rio lahir indonesia,40.0,25.0,50.0,38.333333333333336
rio hariyanto salahsatu pembalap f1 bertandi ng internasional,20.0,25.0,25.0,23.333333333333332
rio haryanto anak bungsu 4 bersaudara lahir solo tanggal 22 januari 1993 keturunan pebalap ayahnya sinyo haryanto pebalap rio prestasi balap segudang prestasi bidang 2012 rio melaju balapan gp2 rio pebalap indonesia masuk balapan bergengsi f1 2010 rio tes f1 menduduki f1 sulit pebalap tahaptahap rio cinta negerinya indonesia menjelajahi dunia karir balapnya rio dinobatkan pebalap termuda dunia,65.0,70.0,75.0,70.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing mengawali kariernya balap gokart 2002 juara nasional gokart kelas kadet,70.0,60.0,75.0,68.33333333333333
rio haryanto pembalap muda indonesia lahir kota solo 22 januari 1993 tim bela marussia f1 team,35.0,30.0,25.0,30.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satu2 salah pebalap muda berpotensi wakil asia ajang formula depan3 2011 rio berpartisipasi ajang seri gp3 tim marussia manor racing seri auto gp tim driotarnoux motorsport dams mengawali kariernya balap gokart 2002 juara nasional gokart kelas kadet tanggal 18 februari 2016 manor racing tim balap f1 resmi mengumumkan rio haryanto pebalapnya musim 2016 mendampingi pascal wehrlein rio pebalap indonesia berkiprah ajang bergengsi,70.0,80.0,90.0,80.0
haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satuia salah pebalap muda berpotensi wakil asia ajang formula depansolocampos racingmenjajal mobil f1 milik marussia f1 team 79 lap uji coba pebalap muda f1 sirkuit silverstone inggris hasil membawa rio orang indonesia memenuhi syarat fia superlisence,70.0,80.0,90.0,80.0
rio haryanto pembalap muda indonesia lahir dikota solo 22 januari 1993 rio haryanto keturan sinyo haryanto pembalap 2012 melaju balapan gp2,38.0,40.0,50.0,42.666666666666664
rio haryanto lahir solo puluh januari seribu sembilan ratus sembilan pupuh rio mmepunyai golongan darah o beragama islam tim rio haryanto f one karirnya runner up seri shanghaichina puluh puluh mei runner up seri shanghaichina puluh puluh mei,35.0,40.0,50.0,41.666666666666664
rio harianto lahir solo puluh januari seribu sembilanratus sembilan puluh tigario golongan darah o beragama islam tim rio renult,28.0,25.0,25.0,26.0
rio haryanto pembalap formula 1 satusatunya indonesia kemaren berhasil finish formula 1 indonesia,40.0,30.0,50.0,40.0
rio haryanto pembalap f1 asia berasala indonesia,30.0,25.0,25.0,26.666666666666668
rio haryanto pembalap f1 indonesia tim ferrari,25.0,25.0,25.0,25.0
solo 22 januari 1993 tim manormercedes,20.0,15.0,25.0,20.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula salah pebalap muda berpotensi wakil asia ajang formula,65.0,50.0,50.0,55.0
rio haryanto pembalap lahir indonesia tim arsenal karir indonesia,30.0,15.0,25.0,23.333333333333332
ryo haryanto lahir solo 22 januari 1993 2010 tim ferrarri,28.0,15.0,25.0,22.666666666666668
rio haryanto salah pebalap f1 grand prix keterbatasan dana,25.0,15.0,25.0,21.666666666666668
pembalap f1 maju laga internasional,20.0,15.0,25.0,20.0
rio haryanto born 22 january 1993 is an indonesian formula one driver for manor he is indonesias first f1 driver in history,20.0,20.0,25.0,21.666666666666668
pembalap f1 lahir solo jawa 22 januari 1993,20.0,20.0,25.0,21.666666666666668
pembalap formula 1 lahir nya indonesia,20.0,15.0,25.0,20.0
pembalam f1 indonesia,18.0,10.0,25.0,17.666666666666668
