Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putra ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
putra tunggal putri tunggal ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda campuran ganda putra ganda putri,100.0,100.0,100.0,100.0
nankatsu rakuzan inazuma toho karasuno,0.0,0.0,0.0,1.0
tunggal putri tunggal putra ganda campuran ganda putra ganda putri,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
ganda putra ganda putri tunggal putra tunggal putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda campuran ganda putri ganda putra,100.0,100.0,100.0,100.0
tunggal putri tunggal putra ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
pantai kute pantai bedugul pantai warna,0.0,0.0,0.0,1.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
1 djarum 2 pertamina 3 honda 4 iklan 5 polinema,0.0,0.0,0.0,1.0
ganda putra ganda putri ganda campuran putra putri,80.0,80.0,75.0,78.33333333333333
