Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
penelitianpenelitian efek pikiran positif gen sumber utama pertumbuhan fungsi sel ditarik pengetahuan emosi positif memicu tombol genetik tubuh direpresentasikan sistem mentalbatinpikiran tubuhfisikdna tubuh batin memiliki hubungan terkait dependence relationship manusia mentalnya bermasalah stress tegang takut fisiknya terganggu fisiknya mudah terserang penyakit bibit penyakit mengalami penderitaan fisik mempengaruhi batin mentalnya,20.0,40.0,25.0,28.333333333333332
berfikir positif mempengaruhi pemikiran dimana pemikiran positfi berpengaruh kualitas hidup sehat,22.0,20.0,25.0,22.333333333333332
berpikiran positif menjaga kesehatan tubuh orang berpikiran positif sehat jarang terkena penyakit,26.0,25.0,25.0,25.333333333333332
berfikir positif lakukan positif pola hidup sehat sikap mengambil tindakan jernih,25.0,25.0,25.0,25.0
berfikir positif hidup sehat manusia,18.0,10.0,10.0,12.666666666666666
berpikir positif optimis menjalani hidup mudah berputus asa kehidupan bermakna,20.0,25.0,25.0,23.333333333333332
makan makanan tubuh sehat kegiatan tubuh sehat memikirkan positif berbicara positif mendengar positif,22.0,37.0,25.0,28.0
membiasakan rutin berolahraga makan makanan bergizi kurangi makan makanan berlemak,12.0,24.0,25.0,20.333333333333332
berolahraga menjaga pola makan,10.0,15.0,10.0,11.666666666666666
berfikiran positif otomatis tubuh sehat,15.0,30.0,25.0,23.333333333333332
berfikir positif mengeluarkan energi positif,18.0,20.0,25.0,21.0
berfikir positif menyebabkan hidup sehat pikiran terfosir memikirkan halhal,28.0,25.0,25.0,26.0
orangorang sukses orangorang memiliki pola pikir positif masuk diterima respon positif positif orangorang berpikir positif pribadi ngotot mempertahankan pendapatnya berani mengakui kekurangan kesalahan kelemahannya orangorang optimis memiliki daya tahan mental larut keputusasaan pameo tubuh sehat jiwa sehat,30.0,40.0,50.0,40.0
hgfguisehufeigfiuegfeiu,0.0,0.0,0.0,1.0
menciptakan pola pikir positif mengarah kesehatan membantu hidup sehat membantu menarik kesuksesan kesempatan cinta hidup,18.0,20.0,25.0,21.0
berpikiran positif dampak terhindar stres mengontrol hidup pikiran berpikiran positif hidup rileks terhindar stres tubuh sehat berpikiran positif berkaitan erat kesehatan takut cemas iri cemburu buruk metabolisme tubuh terganggu mengakibatkan timbulnya penyakit percaya berpikiran positif pikiranpikiran buruk mudah singkirkan optimis percaya mudah sukses berpikiran positif menghadapi pikiran mudah menimbang buruknya keputusan ambil bijak solusi hidup sukses berhasil fokus berpikiran positif pikiran jernih mudah fokus hidup terorganisir manfaatnya mudah mengatur hidup berani berpikiran positif mengubah pikiranpikiran melemahkan hidup positif berani menghadapi teman berpikiran positif otomatis keluarga temanteman senang teman sahabat menyayangi hidup bahagia berpikiran positif bergembira senang tertawa membantu orangorang disekitar mengalami hidup keluarga temanteman disekeliling,55.0,60.0,75.0,63.333333333333336
berifikir positif situasi apapun,10.0,5.0,10.0,8.333333333333334
pribadi potif yg memiliki jiwa raga sehat memiliki prestasi,16.0,10.0,10.0,12.0
hubungan berfikur positif hidup sehat berfikir positif terhindar setres emosi umur,40.0,30.0,50.0,40.0
berpikir positif terhindar stres umur,35.0,25.0,25.0,28.333333333333332
menjaga penyakit,5.0,2.0,10.0,5.666666666666667
mengelola stress jiwa raga sehat mengatasi hidup terarah tubuh sehat jiwa kuat,22.0,30.0,25.0,25.666666666666668
berfikir positif berhubungan pola hidup sehat berfikir positif menjadikan hidup sehat beban fikiran,29.0,40.0,50.0,39.666666666666664
berfikir positif pola hidup sehat pikiran positif menimbulkan sikap memiliki pola hidup sehat pikiran negatif memilih pola hidup sehat,32.0,40.0,50.0,40.666666666666664
berprestasi jiwa raga sehat memiliki teman mengatasi terhindar ceroboh hidup terarah hubungan keluarga pasangan harmonis pribadi pemberani pribadi pantang menyerah memiliki sikap lapang dada,23.0,35.0,25.0,27.666666666666668
menghindari pemikiran yg bersifat negatif,5.0,5.0,10.0,6.666666666666667
berpikir positif tubuh merespon perilaku pola hidup sehat,22.0,25.0,25.0,24.0
pikiran positif sugesti tubuh tubuhpun menjalani pola hidup sehat,28.0,25.0,25.0,26.0
psikologi berfikir positif meningkatkan kepercayaan berakibat sistem kekebalan tubuh pola hidup sehat terjaga fikiran positif cenderung negatif,48.0,40.0,50.0,46.0
positive thinking,0.0,3.0,0.0,1.0
berfikiran jernih sehat,10.0,5.0,10.0,8.333333333333334
berfikir positif sadar sadar pola hidup sehat berhubungan pikiran sehat sesuai hatihati ambil keputusan,22.0,20.0,25.0,22.333333333333332
