Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
merawat bahan alami,8.0,5.0,10.0,7.666666666666667
memakai shampo lidah buaya memakai minyak rambut memakai vitamin rambut potong rambut merawat rambut memakai foam olahraga tidur mandi,25.0,20.0,25.0,23.333333333333332
1 shampoo bagus 2 vitamin rambut 3 lidah buaya vitamin rambut alami 4 kondisioner rambut teratur 5 perawatan salon 6 teknik keramas 7 seringsering periksa dokter kulit,40.0,33.0,25.0,32.666666666666664
shampoolidah buaya,5.0,5.0,10.0,6.666666666666667
memakai barang halal keramas teratur keramas kepala dipijit perlahan pilih sesuai rambut mengalami kerontokan sampo sampo dibakar biar rusak berilah cairan protein rambut lupa baca doa bismillah apapun,15.0,30.0,25.0,23.333333333333332
keramas vitamin,10.0,8.0,10.0,9.333333333333334
keramas menyisir kondisioner creambath minyak vitamin rambut spa rambut memotong rambut bercabang urang aring lidah buaya minyak kemiri,35.0,30.0,25.0,30.0
mencukur keramas conditioner smooting krimbat madu vitamin rambut menyisir spa rambut dikipasi,25.0,25.0,25.0,25.0
rajin keramasmencukurmenyisirmemakai condisionermelakukan smoothingminum multivitamincreambathspa rambuttidak menyemir rambut,25.0,33.0,25.0,27.666666666666668
cuci rambut creambat toning,20.0,18.0,25.0,21.0
keramas mandi musti keramas conditioner,15.0,8.0,10.0,11.0
krimbat shampo kramas minyak rambut spa salon rebonding menjaga kelembaban hair dryer potong rambut,10.0,10.0,10.0,10.0
1 vitamin rambut 2 keramas 2x sehari 3 perawatan rambut 4 creambath 5 hairspa 6 lidah buaya memperkuat rambut 7 minyak kemiri menghitamkan rambut,40.0,29.0,25.0,31.333333333333332
keramas mbakkk,5.0,5.0,10.0,6.666666666666667
tip 1 lindungi rambutmu sinar matahari angin hujan paparan sinar matahari panas kotoran polusi pencemaran rambut rusak mengakibatkan kotoran bertumpuk menyebabkan rambut kulit kepala kering bias menyebabkan infeksi kulit kepala tutup rambut payung topi tip 2 rambut basah rapuh mudah rusak basah batang akar rambut rentan kerusakan keramas langsung menyisir tunggu rambut kering tip 3 kondisioner keramas kondisioner membantu rambutmu lurus tip 4 lakukan conditioning conditioners diformulasikan menyegel kadar air batang rambut kulit kepala pengkondisian 2 inci kulit kepala kondisioner kulit kepala kulit kepala berminyak tip 5 pilih sampo kondisioner jenis memiliki formulasi jenis rambut tujuan bias hasil tip 6 hindari penggunaan hair dryer rambut panas menyerap kadar air rambut membuatnya kering keriting meluruskan rambut alat pelurus memakai pelindung rambut tip 7 hindari ikat rambut super ketat pilihlah kain lembut ikatan rambut ketat cenderung menarik rambut menyebabkan kerusakan tip 8 tidur malam biarkan rambut tergerai sisi menghindari kekusutan rambut tip 9 tidur bantal terbuat satin mengurangi kerusakan rambut akibat gesekan dibandingkan bantal bernahan kapas tip 10 mengeringkan rambut lakukan ditekan diggosok mengeringkan rambut cepat rambut rontok tip 11 masker rambut cocok rambu kebutuhan rambut bervariasi sesuai jenis rambut tip 12 air dingin keramas maksudnya air suhu normal ya air es hindari keramas air panas tip 13 makan kesehatan tubuh mempengaruhi panampilan rambut sehat rambut nutrisi vitamin zat besi protein pertumbuhan rambut kesehatan,80.0,85.0,90.0,85.0
lindungi paparan sinar matahari hindari membasahi rambut kondisioner keramas hindari ikat rambut super ketat biarkan rambut teruarai tidur,40.0,35.0,50.0,41.666666666666664
memelihara kesehatan rambut membiarkan rambut terurai bebas rumah memakai shampo sesuai denga jenis rambut memakai bahanbahan alami merawat rambut memakai jilbab usahakan rambut bernafas tumbuhan lidah buaya rambut hitam ginseng mengurangi kerontokan rambut daun teh mengurangi ketombe rambut keramas minimal 3 rambut berminyak rontok mudah lepek hindari pemakaian conditioner hindari pemakaian pewarna rambut hair colouring usahakan sebulan merawat rambut salon creambath hair tonic hair mask,35.0,45.0,50.0,43.333333333333336
memotong merapikan rambut mencuci rambut kali seminggu shampoo conditioner vitamin rambut menyisir rambut mencatok rambut menyemir rambut bahan sintetik kerimbat hidarkan rambut sinar matahari langsung mengikat rambut kencang ratpat meberikan treathment rambut bahan bahan alamai lidah buaya minyak zaitun rambut basah,40.0,56.0,50.0,48.666666666666664
minyak zaitun aloevera sampo kondisioner lidah buaya hindari pengering rambut catok perhatikan asupan gizi rambut serum,30.0,20.0,25.0,25.0
minyak zaitun lidah buaya shampoo conditioner vitamin rambut santen serum perhatikan asupan gizi hindari pengering rambut sisir tajam,22.0,30.0,25.0,25.666666666666668
diikat pakai kerudung rajin keramas potong gundul ketahuan rambut rusak perawatan lidah buaya diribonding,21.0,30.0,25.0,25.333333333333332
keramas masker rambut dioles lidah buaya dioles putih telur menyuci rambut berkegiatan minyak bahan alami kemiri orang aring minyak rambut bahan kimia berlebihanpomade wax alat pelurus rambut wanita lakilaki,30.0,25.0,25.0,26.666666666666668
menggunkan shampo khusus perawatan rambut menggunkan minyak rambut khusus perawatan rambut,16.0,20.0,25.0,20.333333333333332
keramas shampoo sesuai jenis rambut keramas teratur vitamin rambut hindari paparan langsung sinar matahari menerus telalu menguncit rambut lakukan perawatan rambut dperlukan ramuan alami merawat rambut hindari penggunaan hairspray hindari penggunaan catokan hindari gel rambut sesuai kulit kepala,35.0,28.0,25.0,29.333333333333332
rutin keramas hindari sinar matahari shampo sesuai olesi rambut lidah buaya kurangi minyak rambut disemir berblebihan hairdryer catok rambut minum obat herbal kesehatan rambut dikuncir rapi,30.0,23.0,25.0,26.0
mencatok kriting madu lainlain,11.0,7.0,10.0,9.333333333333334
mengoleskan minyak zaitun keramas membersihkan rambut shapo kondisioner menghindari hair dryer memotong rambut mengkonsumsi vitamin b pilih sisir gerigi jarang menggerai rambut pelindung kepala lakukan creambath lakukan hairmask hair spa,40.0,35.0,50.0,41.666666666666664
cuci rambut shampo menyisir rambut berkala vitamin rambut keramas hair spa memotong rambut bercabat memakai masker lidah buaya menghitamkan rambut memakai masker kemiri rambut lebat kegiatan sinar matahari penutup kepala terkena matahari memakai shampo sesuai kebutuhan keramas berkala,50.0,40.0,50.0,46.666666666666664
lindungi rambutmu sinar matahari kondisioner keramas pilih sampo kondisioner jenis memiliki formulasi hindari penggunaan hair dryer rambut hindari ikat rambut super ketat perempuan tidur bantal terbuat satin mengurangi kerusakan rambut mengeringkan rambut lakukan ditekan air dingin keramas makan vitamin rambut,75.0,69.0,75.0,73.0
lindungi rambutmu sinar matahari angin hujan paparan sinar matahari panas kotoran polusi pencemaran rambut rusak mengakibatkan kotoran bertumpuk menyebabkan rambut kulit kepala me,38.0,40.0,50.0,42.666666666666664
lindungi rambutmu sinar matahari angin hujan paparan sinar matahari panas kotoran polusi pencemaran rambut rusak rambut basah rapuh mudah rusak basah batang akar rambut rentan kerusakan keramas langsung menyisir tunggu rambut kering kondisioner keramas kondisioner membantu rambutmu lurus lakukan conditioning conditioners diformulasikan menyegel kadar air batang rambut kulit kepala pengkondisian 2 inci kulit kepala kondisioner kulit kepala kulit kepala berminyakpilih sampo kondisioner jenis memiliki formulasi jenis rambut tujuan bias hasil baikhindari penggunaan hair dryer rambut panas menyerap kadar air rambut membuatnya kering keriting meluruskan rambut alat pelurus memakai pelindung rambut sebelumnyahindari ikat rambut super ketat pilihlah kain lembut ikatan rambut ketat cenderung menarik rambut menyebabkan kerusakanketika tidur malam biarkan rambut tergerai sisi menghindari kekusutan rambuttidur bantal terbuat satin mengurangi kerusakan rambut akibat gesekan dibandingkan bantal bernahan kapas lainnyaketika mengeringkan rambut lakukan ditekan diggosok mengeringkan rambut cepat rambut rontok banyakgunakan masker rambut cocok rambu kebutuhan rambut bervariasi sesuai jenis rambut,70.0,78.0,75.0,74.33333333333333
shampo kondisioner kulit kepala perhatikan asupan gizi makanlah sayuran buahbuahan mengandung vitamin ace kulit kepala rambut sehat hindarilah pengering rambut hair dryer,20.0,30.0,25.0,25.0
minyak alami minyak zaitun cuka apel mayones alpukat membersihkan rambut kondisioner hindari hair dryer memotong rambut vitamin b,25.0,28.0,25.0,26.0
pomade,8.0,0.0,0.0,2.6666666666666665
keramas memakai vitamin rambut hindari langsung terik matahari memakai shampo mencatok rambut menarik rambut hindari memakai bahan kimia warna rambut sisir renggang memakai minyak rambut,29.0,35.0,25.0,29.666666666666668
keramas sisir krimbat potong vitamin ikat keras panjankan semir pakai topi lamalama sampo mengandung zinc,26.0,30.0,25.0,27.0
cuci sisir siram terkena sinar matahari minyak rambut creambath rawat potong cat rambut,28.0,24.0,25.0,25.666666666666668
keramasdi cucidi sisirdi vitamin rambut usahakan terkena sinar matahari creambathdi minyak rambutpomade,25.0,15.0,25.0,21.666666666666668
berdoa membaca bismillah,0.0,0.0,0.0,1.0
memakai shampo 1 minggu 3x shampo yg cocok mandi teratur rambut kering sisir sabun keramas sisir keringkan rambut mandi pomade ber,20.0,30.0,25.0,25.0
mengeringkan rambut hair drayer keramas mandi menutup rambut basah mengecat rambut membentuk memakai vitamin rambut memotong rambut sembarangan,18.0,25.0,25.0,22.666666666666668
rutin berkala keramas mengeringkan rambut mandi menutup rambut basah,26.0,20.0,25.0,23.666666666666668
keramas memakai conditioner mengikat basah memakai pewarna rambut,30.0,27.0,25.0,27.333333333333332
membersihkan rambut minimal 2 memperhatikan konsumsi makanan minum air putih memeriksamemantau obat konsumsi memotong trim ujung rambut minimal sebulan merawat rambut alami,35.0,30.0,25.0,30.0
menjagadenganmenyampodenganteratur,0.0,5.0,0.0,1.6666666666666667
1 shampo 2 2 pergi salon 3 smoothing dll,15.0,15.0,25.0,18.333333333333332
mebersihkan shampo mebersihkan air bersih minyak rambut sembarangan minyak rambut vitamin rambut hindari debu hindari asap hindari kotoran jatuh hindari kotoran asap hindari kotoran debu asap,25.0,30.0,25.0,26.666666666666668
