Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
batasi anak beritahu anak buruk sebisa orang tua kenal temannya turuti anak memukul anak tanamkan ajaran agama anak nasehati anak buruk,28.0,40.0,50.0,39.333333333333336
mengisi kosong kegiatan positif orang tua akrab anak perhatikan lingkungan membatasi rumah pacaran umur ceritakan pengalaman posistif orang tua anak keluarga,37.0,60.0,50.0,49.0
larang malam diatur jam bermain penjelasan awasi tau teman kasih tau salah bergaul tegur bermain teman salah,20.0,20.0,25.0,21.666666666666668
mengawasi pertemanan anakmeberikan perhatian pergaulanmenasehati anak bergaul aturan anak usia,40.0,35.0,50.0,41.666666666666664
bercerai istri suami mengontrol sikapnya tehadap orang tua ilmu agama kasih sayang anak mempererat hubungan orang tua anak prilaku temannya kegiatan seharihari temannya,50.0,59.0,50.0,53.0
melarang pergaulan bebas melarang bergaul area lingkungan yg bersifat jahat mengaji sholat sekolah membantu orang tua melawan orang tua,26.0,32.0,25.0,27.666666666666668
mengarahkan anaknya dasar agama kuat kritis memilih teman menasehati berbuat salah memarahi berperilaku,28.0,35.0,25.0,29.333333333333332
perhatian dimanjakan dibentak bentak mengawasi pergaulan anak mendaftarkan anak menyalurkan hobi,33.0,48.0,50.0,43.666666666666664
membatasi pertemanan dilarang malam ijin sembarangan rumah,37.0,32.0,50.0,39.666666666666664
memahami hidup mengajarkan norma agama mengajarkan norma asusila mengajarkan norma sosial mengajarkan batasbatasan,26.0,30.0,25.0,27.0
manjadi teladan anak membimbing anak arah mengekang anak mengenalkan buruk dasardasar agamabiar memilih,18.0,20.0,25.0,21.0
1 awasi 2 mengenali temanteman nya 3 kebebasan memilih teman 4 kelembutan 5 kasari 6 dikasih uang 7 menambah gizi anak,42.0,59.0,50.0,50.333333333333336
awasi dipaksa ditekan kecukupan motovasi bersifat kekeluargaan kasari,16.0,15.0,10.0,13.666666666666666
