Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusia,40.0,30.0,50.0,40.0
pandangan hidup menganggap orang bahagia mencari kebahagiaan sebanyakbanyaknya menghindari perasaanperasaan khawatir,30.0,20.0,25.0,25.0
gaya hidup hedonism gaya hidup mengedepankan kebutuhan bersenangsenang,25.0,20.0,25.0,23.333333333333332
mengerti gaya hidup gaya hidup modern barangkali,10.0,5.0,10.0,8.333333333333334
hedonism pandangan kesenangan tujuan hidup tindakan manusia,22.0,20.0,25.0,22.333333333333332
hedonism gaya hidup mementingkan dunia bermewah mewahan glamour memiliki pandangan kenikmatan kesenangan tujuan hidup,40.0,30.0,50.0,40.0
hedonism gaya hidup sulit dimengerti orang,12.0,5.0,10.0,9.0
gaya hidup mewah gaya hidup sesuai pendapatan,28.0,25.0,25.0,26.0
pandangan hidup menggangap orang bahagia mencari kebahagian,37.0,40.0,50.0,42.333333333333336
pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaan perasaan menyakitkan,42.0,45.0,50.0,45.666666666666664
gaya hidup hedonism gaya hidup mengikuti gaya hidup orang barat,37.0,20.0,25.0,27.333333333333332
gaya hidup mengedepankan kemewahan mengamburhamburkan uang,30.0,30.0,25.0,28.333333333333332
hedonisme pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusia,40.0,45.0,50.0,45.0
gaya hidup hedonisme gaya hidup menggangap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkangaya hidup hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusiaini memiliki aliran pemikiran hedonis cyrenaics epikureanisme utilitarianisme,45.0,60.0,50.0,51.666666666666664
hedonism pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,42.0,55.0,50.0,49.0
hedonisme pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan1 hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusia2 aliran pemikiran hedonis cyrenaics epikureanisme utilitarianisme,43.0,65.0,50.0,52.666666666666664
pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,39.0,45.0,50.0,44.666666666666664
pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,42.0,35.0,50.0,42.333333333333336
hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusia,37.0,30.0,25.0,30.666666666666668
hedonisme doktrin kesenangan hidup hedonisme paham dianut orangorang mencari kesenangan hidup sematamata,43.0,40.0,50.0,44.333333333333336
pandangan hidup menganggap orang bahagia mencari kebahagiaan,34.0,35.0,25.0,31.333333333333332
hedonism gaya hidup berlebihlebihan sempurna puas jelek,30.0,30.0,25.0,28.333333333333332
gaya hidup mempertimbangkan aspek kesehatan,14.0,5.0,10.0,9.666666666666666
gaya hidup mementingkan kesehatan,14.0,5.0,10.0,9.666666666666666
hedonisme pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,38.0,40.0,50.0,42.666666666666664
gaya hedonism pandangan hidup menganggap kesenangan kenikmatan materi tujuan utama hidup,40.0,35.0,50.0,41.666666666666664
gaya hidup hedonism pandangan hidup menganggap kesenangan kenikmatan materi tujuan utama hidup,37.0,35.0,50.0,40.666666666666664
pandangan hidup menganggap kesenangan kenikmatan hidup tujuan hidup,28.0,30.0,25.0,27.666666666666668
gaya hidup menuhankan uang,12.0,15.0,10.0,12.333333333333334
pandangan hidup menganggap kesenangan kenikmatan materi tujuan utama hidup penganut paham bersenangsenang pestapora pelesiran tujuan utama hidup menyenangkan orang,50.0,40.0,50.0,46.666666666666664
hedonisme pandangan hidup menganggap bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,42.0,32.0,25.0,33.0
gaya hidup bermewah mewahan,14.0,25.0,25.0,21.333333333333332
gaya hudup bermewahmewahan menghamburkan uang,20.0,25.0,25.0,23.333333333333332
