Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
kami bangsa indonesia menyatakan dengan ini kemerdekaan indonesia hal-hal yang mengenai pemindahan kekuaaan dilaksanakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,60.0,78.0,75.0,71.0
"kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara saksama dan dalam tempo yang sesingkat-singkatnya. djakarta, 17 agustus 1945 atas nama bangsa indonesia. soekarno-hatta. ",73.0,85.0,80.0,79.33333333333333
"isi teks proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan, diselenggarakan dengan secara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,73.0,75.0,69.33333333333333
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan cara seksama dan dalam tempo sesingkat - singkatnya jakarta 17 agustus 1945 atas nama bangsa indonesia sokarno - hatta ,70.0,79.0,75.0,74.66666666666667
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. jakarta 17 agustus 1945. ,80.0,92.0,90.0,87.33333333333333
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, di laksanakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta, 17 agustus 1945. atas nama soekarno-hatta ",85.0,97.0,90.0,90.66666666666667
"proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dalam dengan cara seksama dan dalam tempo sesingkat-singkat nya. jakarta hari 17 bulan 08 tahun 05 atas nama bangsa indonesia. soekarno hatta ",75.0,85.0,75.0,78.33333333333333
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta har 17 bulan 8 tahun 05 atas nama bangsa indonesia soekarno-hatta ",75.0,85.0,75.0,78.33333333333333
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan negara republik indonesia raya ,30.0,28.0,25.0,27.666666666666668
proklamasi kemerdekaan adalah hak segala bangsa oleh karen itu penjajah diatas dunia harus dihapuskan karena tidak sesuai prikemanusiaan dan prikeadilan. hal - hal yang mengenai pemindahankekuasaan dan lain - lain diselenggarakan secara seksama dan dalam tempo yang sesingkat singkatnya. ,20.0,15.0,25.0,20.0
