Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
kiper penjaga gawang striker pemain menyerang gelandang pemain pemain bertahan pemain kiper,45.0,50.0,50.0,48.333333333333336
penjaga gawang posisi penjaga gawang posisi kemampuan khusus tugas penjaga gawang mencegah bola masuk gawang penjaga gawang seringkali palang pintu lawan memasukkan bola gawang penjaga,38.0,30.0,25.0,31.0
penjaga gawangpemain tengahpemain serangwasit,20.0,15.0,25.0,20.0
keeper menjaga daerah gawang kemasukan bola memakai tangan menangkap bola defender menjaga daerah pertahanan pemain lawan daerah gawang mildfinder menjaga daerah bertugas membantu penyerangan pertahanan striker bertugas mencetak goal gawang lawan,48.0,75.0,50.0,57.666666666666664
penjaga gawang menjaga gawang kebobolan tangan defender menjaga striker lawan midfender serangan striker mencetak gol gawang lawan,45.0,75.0,50.0,56.666666666666664
penjaga gawang menjaga gawang kebobolan tangan defender menjaga striker lawan midfender serangan striker mencetak gol gawang lawan,43.0,75.0,50.0,56.0
striker pemain serang defence bek bertahan goal kiper penjaga gawang winger gelandang serang,40.0,50.0,50.0,46.666666666666664
kiper menjaga gawang bek menjaga striker menyerang libero menahan bola kiper sanggup,35.0,30.0,25.0,30.0
goal keeper pemain menjaga gawang center back pemain bertahan midfielder pemain striker pemain penyerang,38.0,60.0,50.0,49.333333333333336
striker penyerang bertugas memasukkan bola gawang lawan midfielder gelandang bertugas penjaga daerah lapangan bertugas mengalirkan bola umpan penyerang defender bek bertugas menjaga daerah sekita gawang serangan lawan keeper kiper betugas menjaga gawang,45.0,78.0,75.0,66.0
bek kiper gelandang sayap penyerang,18.0,35.0,25.0,26.0
striker penyerang sayap kanan penyerang mengoper sebelah kanan sayap kiri penyerang mengoper sebelah kiri bek kanan menahan bola lawan kemasukan goal kiper menjaga gawang,42.0,55.0,50.0,49.0
kipper menjaga gawang back menahan bola striker penyerang gelandang mengatur permainan,28.0,50.0,50.0,42.666666666666664
kiper penjaga gawang defender pemain bertahan midfielder pemain gelandang membantu defender striker striker pemain tugas utamanya mencetak gol gawang lawan,54.0,55.0,50.0,53.0
striker penjaga gawang pertahanan penyerang,28.0,35.0,25.0,29.333333333333332
pemain pemain sayap pemain goal keeper,30.0,35.0,25.0,30.0
striker goal keeper back wings,20.0,35.0,25.0,26.666666666666668
keeper menjaga gawang back menjaga striker menyerang sayap keseimbangan,38.0,45.0,50.0,44.333333333333336
kiper pemain penjaga gawang back pemain pertahanan striker pemain penyerang forward pemain sayap,48.0,45.0,50.0,47.666666666666664
