Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
cupcake doughnut eclair froyo gingerbread honeycomb ice cream sandwich jellybean kitkat lollipop marshmallow,70.0,95.0,90.0,85.0
android beta centa delta entiti fair game have int juanda kitkat lolipop,7.0,20.0,10.0,12.333333333333334
cupcake donut eclair froyo gingerbreadhoneycomb ice cream sandwich jellybean kitkat lollipop marshmellow nuttelo,79.0,95.0,90.0,88.0
cupcake donut friyo ginger bread ice creamsinwich jelly bean kitkat lolipop marsmallow nutella,76.0,75.0,75.0,75.33333333333333
donut 16 eclair 2021 froyo 22223 gingerbread 23237 honeycomb 30326 ice cream sandwich 40404 jelly bean 4143 kitkat 44,50.0,75.0,75.0,66.66666666666667
cupcake donut eclair froyo ginger bread honeycamb ice cream sandwich jelly bean kit kat lollipop marshmallow,86.0,90.0,90.0,88.66666666666667
jelly bean kitkat,18.0,15.0,25.0,19.333333333333332
android beta android 11 bender android 15 cupcake android 16 donut android 2021 encla android 23 gingerbread android 22 frozen yoghurt froyo android 3031 honeycomb android 40 ice cream sandwich,30.0,50.0,50.0,43.333333333333336
donut androidversi 16 eclair android versi 20 21 froyo android versi 22 223 gingerbread android versi 23 24 honeycomb android versi 30 32 ice cream sandwich android versi 40 jelly bean android versi 41 43,50.0,65.0,50.0,55.0
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat,93.0,80.0,90.0,87.66666666666667
cupcake android versi 12 15 donut androidversi 16 eclair android versi 20 21 froyo android versi 22 223 gingerbread android versi 23 24 honeycomb android versi 30 32 ice cream sandwich android versi 40,40.0,70.0,50.0,53.333333333333336
cupcake 15 donut 16 eclair 2021 froyo 22223 gingerbread 23237 honeycomb 30326 ice cream sandwich 40404 jelly bean 4143 kitkat 44 lollipop 50,50.0,90.0,75.0,71.66666666666667
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipop marsmellow,86.0,98.0,90.0,91.33333333333333
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat,93.0,80.0,90.0,87.66666666666667
ice cream jelly bean gingerbread,35.0,30.0,25.0,30.0
cupcakedonateclairefroyogingabeardhoneycombice cream sandwichjellybeanskitkatlolipopmartabak,79.0,75.0,75.0,76.33333333333333
android donat ecliyer froyo gingabread ice cream sandwith jellybean kitkat lolypop marshmallo,72.0,45.0,50.0,55.666666666666664
donut eclaire froyo ginggerbread honeycomb ice cream sandwich jellybean kitkat lollipop marshmallow,86.0,95.0,90.0,90.33333333333333
android 15 cupcake api level 3 android 16 donut api level 4 android 20 eclair api level 5 android 201 eclair api level 6 android 21 eclair api level 7 android 22223 froyo api level 8 android 23232 gingerbread api level 9 android 233237 gingerbread api level 10 android 30 honeycomb api level 11 android 31 honeycomb api level 12 android 32 honeycomb api level 13 android 40402 ice cream sandwich api level 14 android 403404 ice cream sandwich api level 15 android 41 jelly bean api level 16 android 42 jelly bean api level 17 android 43 jelly bean api level 18 android 44 kitkat api level 19 android 50 lollipop api level 21 android 60 marshmallow api level 22,20.0,100.0,90.0,70.0
android cupcake versi curve,7.0,5.0,10.0,7.333333333333333
android versi 10 astro android versi 11 bender android versi 15 cupcake android versi 23 gingerbread android versi 40 ics ice cream sandwich android versi 41 jelly bean android versi 44 kitkat,40.0,40.0,50.0,43.333333333333336
donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kit kat lollipop marshmallow,75.0,88.0,90.0,84.33333333333333
cupcake 15 donut 16 eclair 2021 froyo 22223 gingerbread 23237 honeycomb 30326 ice cream sandwich 40404 jelly bean 4143 kitkat 44,50.0,75.0,75.0,66.66666666666667
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jellybean kitkat marshmallow,84.0,90.0,90.0,88.0
donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipopmarshmallow,84.0,90.0,90.0,88.0
android cupcake,10.0,10.0,10.0,10.0
ics jellybean kitkat lilipop mashmellow,14.0,45.0,25.0,28.0
