Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
fisik komputer dibedakan data dalamnya beroperasi dalamnya dibedakan perangkat lunak software menyediakan instruksi perangkat keras menyelesaikan tugasnya contohnya harddisk floppydisk prosessor ram motherboard,18.0,40.0,25.0,27.666666666666668
hardware perangkat keras menghubungkan software contoh harddisk printer scanner monitor cpu,38.0,45.0,50.0,44.333333333333336
hardware peralatan komputer manusia contoh mouse keyboard monitor mouse scanner,42.0,45.0,50.0,45.666666666666664
engertian hardware perangkat keras komponen komputer disentuh fisik rupa fisik komputer hardware perangkat keras contoh hardware printer mouse,55.0,65.0,50.0,56.666666666666664
hardware perangkat keras salah komponen komputer sifat alat nya diraba langsung berbentuk nyata berfungsi mendukung proses komputerisasi contohnya keyboard mouse scanner monitor hdd power supply vga card ram,75.0,85.0,75.0,78.33333333333333
hardware perangkat keras contohnya keyboard mouse scanner motherboard vga,43.0,55.0,50.0,49.333333333333336
hardware perangkat keras komponen komputer disentuh fisik contohnya joystick mouse monitor printer speaker keyboard scanner,70.0,80.0,75.0,75.0
hardware perangkat keras contoh monitor keyboard mouse cpu,44.0,40.0,50.0,44.666666666666664
perangkat keras hardware komputer alatalat komputer disentuh berwujudberbentuk mendukung kinerja computer input device alat input masukan process device alat menjalankan proses sistem computer output device alat output keluaran menghubungkan sistem storage device alat menyimpan,30.0,40.0,50.0,40.0
hardware perangkat keras komputer yg sentuh lihat bentuk komputer hardware monitor mouse keyboard motherboard vga ram processor dll,65.0,70.0,50.0,61.666666666666664
perangkat keras komputer contohnya mousekeyboardmonitorprinterlcd,55.0,56.0,50.0,53.666666666666664
hardware perangkat keras contoh keyborad mouse cpu printer,50.0,55.0,50.0,51.666666666666664
hardware perangkat keras komputer contohnya cpu mouse keyboard headseat monitor,50.0,58.0,50.0,52.666666666666664
hardware perangkat keras contoh keyboardmonitorcpulcd proyektor mouse,48.0,55.0,50.0,51.0
perangkat keras contoh harddisk ram mouse motherboard keyboard printer scanner heatsink casing processor flashdisk disket cdrom dvdrom monitor vga card sound card cable ide speaker headset modem router hub switch,30.0,40.0,50.0,40.0
hardware perangkat keras komputer contoh printer mouse keyboard cpu monitor,50.0,50.0,50.0,50.0
hardkeras wareperangkat perangkat keras,20.0,20.0,25.0,21.666666666666668
perangkat keras pc contohnya keyboard mouse harddisk,38.0,35.0,25.0,32.666666666666664
hardware perangkat keras contoh harddisk keyborad mouse usb flashdisk motherboard,40.0,50.0,50.0,46.666666666666664
perangkat keras komponen komputer disentuh fisik rupa fisik komputer hardware contohnya printer mouse lcd keyboard cpu,70.0,85.0,75.0,76.66666666666667
komponen komputer kasat mata disentuh fisik mouse keyboard joystick speaker monitor printer,55.0,65.0,75.0,65.0
perangkat keras komputer,28.0,20.0,25.0,24.333333333333332
hardware perangkat keras komputer processor memory ram hardisk video card,34.0,40.0,50.0,41.333333333333336
