Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesia2 negarakertagama kekuasaannya terbentang jawa sumatra semenanjung malaya kalimantan indonesia timur wilayah kekuasaannya diperdebatkan berdirinya majapahit singhasari kerajaan kuat jawa perhatian kubilai khan penguasa dinasti yuan tiongkok mengirim utusan bernama meng chi14 singhasari menuntut upeti kertanagara penguasa kerajaan singhasari menolak membayar upeti mempermalukan utusan merusak wajahnya memotong telinganya1415 kubilai khan marah memberangkatkan ekspedisi jawa 1293 jayakatwang adipati kediri menggulingkan membunuh kertanegara saran aria wiraraja jayakatwang pengampunan raden wijaya menantu kertanegara menyerahkan wiraraja mengirim utusan daha membawa surat berisi pernyataan raden wijaya menyerah mengabdi jayakatwang16 surat disambut senang hati16 raden wijaya hutan tarik membuka hutan membangun desa desa dinamai majapahit namanya diambil buah maja pahit buah pasukan mongol wijaya bersekutu pasukan mongol bertempur melawan jayakatwang berhasil menjatuhkan jayakatwang raden wijaya berbalik menyerang sekutu mongolnya memaksa menarik pulang pasukannya kalangkabut negeri asing1718 kesempatan menangkap angin muson pulang terpaksa menunggu enam pulau asing tanggal tanggal kelahiran kerajaan majapahit penobatan raden wijaya raja tanggal 15 kartika 1215 saka bertepatan tanggal 10 november 1293 dinobatkan nama resmi kertarajasa jayawardhana kerajaan menghadapi orang terpercaya kertarajasa ranggalawe sora nambi memberontak melawannya pemberontakan berhasil pemberontakan ranggalawe didukung panji mahajaya ra arya sidi ra jaran waha ra lintang ra tosan ra gelatik ra tati pararaton19 slamet muljana menduga mahapatih halayudha konspirasi menjatuhkan orang tepercaya raja mencapai posisi tertinggi pemerintahan kematian pemberontak kuti halayudha ditangkap dipenjara dihukum mati18 wijaya meninggal dunia 1309 putra penerus wijaya jayanegara pararaton menyebutnya gemet penjahat lemah kirakira kurun pemerintahan jayanegara pendeta italia odorico da pordenone mengunjungi keraton majapahit jawa 1328 jayanegara dibunuh tabibnya tanca tirinya gayatri rajapatni menggantikannya rajapatni memilih mengundurkan istana bhiksuni rajapatni anak perempuannya tribhuwana wijayatunggadewi ratu majapahit 1336 tribhuwana gajah mada mahapatih pelantikannya gajah mada sumpah palapa rencananya melebarkan kekuasaan majapahit membangun kemaharajaan kekuasaan tribhuwana kerajaan majapahit berkembang terkenal kepulauan nusantara tribhuwana berkuasa majapahit kematian ibunya 1350 diteruskan putranya hayam wuruk,82.0,89.0,90.0,87.0
bertempat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 ibukotanya trowulan berbahasa jawa kuno sanskerta mayoritas menganut agama siwabuddha hindu buddha kejawen animisme bentuk pemerintahan monarki pendiri kerajaan majapahit dyah wijaya dimana populer pemakaian gelar raden dyah raden harsawijaya raden wijaya prasasti kudadu keluarkan wijaya nama pendiri tercantum nararya sanggramawijaya,50.0,57.0,50.0,52.333333333333336
majapahit jawa timur indonesia puncak kejayaan hayam wuruk agama hindubudha,60.0,67.0,50.0,59.0
kerajaan majapahit bertempat jawa timur kerajaan kerajaan hindu puncak kejayaannya abad 14,55.0,46.0,50.0,50.333333333333336
kerajaan majapahit kerajaan terbesar indonesia bertempat kutai kejayaannya kerajaan majapahit kerajaan memiliki kekuasasan tertinggi masanya agamanya agama hindu,48.0,30.0,50.0,42.666666666666664
kerajaan berdiri tanah jawa berpusat jawa timur,32.0,30.0,25.0,29.0
kerajaan majapahit salah kerajaan bertempatkan pulau jawa berpusat jawa timur,40.0,30.0,50.0,40.0
kerajaan majapahit kerajaan terbesar indonesia zaman berpusat jawa mayoritas agama hindu,49.0,48.0,50.0,49.0
kerajaan berdiri majapahit salah kerajaan terbesar indonesia kerajaan beragama hindu kerajaan berpusat mojokerto jawa timur tokoh terkenal majapahit hayam wuruk patih gajahmada menarik mebahas gajahmada dimana gajahmada lahir makamnya ditemukan keberadaan nya membaca jawa timur dipercaya lahir gajahmada gajahmada lahir desa modo kabupaten lamongan fakta baca datangai langsung juru kunci makam gajahmada ds modo kab lamongan mempercayai gajahmada muksomenghilang air terjun madakaripura probolinggo peninggalan kerajaan majapahit tersebar diseluruh nusantara mojokerto candi pemujaan zaman majapahit gunung penanggungan ditemui candi mata air kuno jolotundo ditemukan jalur pendakian kuno,50.0,48.0,50.0,49.333333333333336
kerajaan majapahit pulau jawa,20.0,20.0,25.0,21.666666666666668
kerajaan majapahit kerajaan jawa timur indonesia kerajaan berdiri skeitar 1293 1500 masehi kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan hindu buddha,80.0,80.0,75.0,78.33333333333333
kerajaan majapahit kerajaan negara indonesia puncak kejayaan kerajaan majapahit mengalami kejayaan,28.0,20.0,25.0,24.333333333333332
kerajaan indonesia,10.0,10.0,10.0,10.0
kerajaan majapahit kerajaan jawa timur tepatnya daerah mojokerto majapahit berkaitan ditemukanya buah maja pahit dimana daerah dibangun kerajaan majapahit majapahit kerajaan memeluk agama hindu kejayaanya wilayah kerajaan majapahit meliputi wilayah indonesia ditambah malaysia singapore brunei darusallam,40.0,35.0,50.0,41.666666666666664
kerajaan majapahit kerajaan hindu terbesar mojokerto jawa timur majapahit memiliki kejayaan cemerlang memiliki wilayah luas meliputi wilayah indonesia malasysia,45.0,57.0,50.0,50.666666666666664
kerajaan majapahit kerajaan hindhu mojokerto jawa timur kerajaan majapahit kerajaan kuno indonesia kerajaan majapahit mencapai puncak kejayaan kepemimpinan hayam wuruk patih gajah mada,68.0,67.0,75.0,70.0
kerajaan majapahit kerjaan hindhu mojokerto jawa timur,38.0,35.0,25.0,32.666666666666664
kerajaan majapahit kerjaan hindu jawa timur kerjaan kerajaan kuno indonesia berdiri 1293 1500 mkerajaan majapahit didirikan raden wijaya 1293mkerajaan mencapai puncak kejayaan abad 14 kekuasaan hayam wuruk didampingi patih gadja mada,60.0,78.0,75.0,71.0
majapahit kerajaan berpusat mojokerto jawa timur indonesia kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesia,90.0,80.0,90.0,86.66666666666667
kerajaan majapahit kota mojokerto jawa timur puncak kejayaan kerajaan majapahit kepemimpinan raden wijaya agama dianut kerajaan majapahit agama hindu,55.0,58.0,50.0,54.333333333333336
kerajaan berpusat jawa timur berdiri 1293 1500m pincak kejayaannya pinpin hawam wuruk,45.0,50.0,50.0,48.333333333333336
kerajaan majapahit kerajaan berkuasa orde,26.0,15.0,25.0,22.0
gajahmada berasal kerajaan majapahit,10.0,15.0,10.0,11.666666666666666
kerajaan majapahit bangun raden wijaya kejayaan raja hayamwuruk patih gajah mada,38.0,40.0,50.0,42.666666666666664
kerajaan majapahit adlah kerajaan hindu dijawa timur kerajaan jawa kuno indonesia berdiri 1293 1500m kerajaan didirikann raden wijayadan mencapai puncak kejayaan abad 14 kekuasaan hayam wuruk didampingi patih gadjah mada,50.0,40.0,50.0,46.666666666666664
majapahit bertempatan jawa puncak kejayaan majapahit agam dianut agama hindu,48.0,25.0,50.0,41.0
bertempat dijawa timur beragama hindu,40.0,15.0,25.0,26.666666666666668
kerajaan majapahit berdiri 1923 1500 m mengalami kejayaan kekuasaan raja hayam wuruk agama dianut hindu,55.0,58.0,50.0,54.333333333333336
kerajaan majapahit kerajaan indonesia menyatukan indonesia negeri salah sumpah terkenal sumpah palapa deklarasikan adipati gajah mada,40.0,55.0,50.0,48.333333333333336
kejayaan kerajaan majapahit patih gajah mada berkuasa kerajaan majapahit wilayah jawa timur agama dianut kejayaannya hindu,60.0,65.0,50.0,58.333333333333336
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesiamenurut negarakertagama kekuasaannya terbentang jawa sumatra semenanjung malaya kalimantan indonesia timur wilayah kekuasaannya diperdebatkan,70.0,80.0,75.0,75.0
kerajaan kuno indonesia yg berdiri abad 13 kerajaan mencapai puncak kejayaan kekuasaan hayam wuruk majapahit menguasai kerajaankerajaan semenanjung malaya borneo sumatra bali filipina kerajaan majapahit kerajaan hindubuddha yg menguasai semenanjung malaya dianggap salah negara terbesar sejarah indonesia,60.0,70.0,75.0,68.33333333333333
majapahit kerajaan hindubudha terbesar jawa indonesia,49.0,35.0,50.0,44.666666666666664
kerajaan majapahit kerajaan makmur wilayah jawa,20.0,25.0,25.0,23.333333333333332
