Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
parkour aktivitas bertujuan berpindah efisen secepat cepatnya menggunkan prinsip kemampuan bdan manusia parkour perkampungan taman dll,50.0,58.0,50.0,52.666666666666664
parkour olahraga ekstrim parkour ditempat ekstrim,30.0,30.0,25.0,28.333333333333332
parkour olahraga mengandalkan kekuatan otot tangan kaki kelenturan,27.0,30.0,25.0,27.333333333333332
parkour baca paarkuur kadangkadang disingkat pk l art du deplacement seni gerak aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,55.0,50.0,51.0
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia,50.0,55.0,50.0,51.666666666666664
parkour seni bergerak metode latihan natural bertujuan membantu manusia bergerak cepat eficien gedung gedung,44.0,55.0,50.0,49.666666666666664
parkour baca paarkuur kadangkadang disingkat pk l art du déplacement seni gerak aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota media menyebut istilah traceur traceuse perempuan penggiat parkour sepenuhnya salah kenyataannya sebutan traceur traceuse sesungguhnya praktisi parkour generasi berlatih david belle founder pencipta parkour prancis praktisi parkour generasi setelahnya parkour practitioner praktisi parkour parkour enthusiast orang berlatih parkour sepenuh hati antusias parkour sepenuhnya olahraga parkour mengenal kompetisi sepakbola kompetisi sepakbola nasional kejuaraan bulutangkis all england medali medali tingkatantingkatan taekwondo beladiri disimbolkan sabuk parkour dikenal istilah jamming menggambarkan kegiatan kumpul berbagi teknik metode latihan praktisi parkour murni seni parkour dance mengedepankan keindahan gerakan trik capoeira indah jurus parkour mengedepankan bergerak titik titik keindahan bonus tepatnya parkour pas aktivitas disiplin bentuk disiplin parkour mencari web portal parkour indonesia bergabung komunitas kota,60.0,75.0,75.0,70.0
parkour seni bergerak metode latihan natural bertujuan membantu manusia bergerak cepat eficien parkour mengunakan gerakan berlari memanjat meloncat melatih kemampuan manusia melewati bentuk rintangan situasi kondisi lingkungan urban rural,48.0,55.0,50.0,51.0
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia,50.0,55.0,50.0,51.666666666666664
park taman our taman,0.0,0.0,0.0,1.0
olah raga exstrim terbuka gedung gedung jalan raya,30.0,35.0,25.0,30.0
memarkirkan kendaraan tempatnya dipandu jukir,0.0,0.0,0.0,1.0
parkour olahraga loncat atap gedung atap gedung hotel atap gedung mall,38.0,45.0,50.0,44.333333333333336
parkour jenis olahraga berlari meloncat melewati gedung,44.0,50.0,50.0,48.0
aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia,50.0,50.0,50.0,50.0
parkour melatih manusia bergerak cepat yg loncat gedung gedung atap rumah keatap rumah organ tubuh sehat contohnya coba maling laptop dikejar 1 kampung lari yg namanya parkour,40.0,65.0,50.0,51.666666666666664
parktaman ourkami taman,0.0,0.0,0.0,1.0
parkour atraksi jalanan mengkombinasikan lari gaya gaya menghindari rintangan,30.0,35.0,25.0,30.0
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,50.0,50.0,49.333333333333336
aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia gedung,55.0,60.0,50.0,55.0
sabil,0.0,0.0,0.0,1.0
parkour sejenis olah raga dimana membutuhkan badan kuat,30.0,18.0,25.0,24.333333333333332
