Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
negara demokrasi negegara menjunjung kebebasan berpendapat peran rakyatnya memanfaatkan kebebasan berpendapat evaluasi negara negara,47.0,45.0,50.0,47.333333333333336
sistem pemerintahan rakyat nya berpartisipasi pemerintahan mengutamakan persamaan kesetaraan hak kewajiban warga negara,44.0,38.0,50.0,44.0
negera bersih korupsi taat hukum,10.0,5.0,10.0,8.333333333333334
negara mengutamakan musyawarah mengatasi permasalahan rakyat berperan sumber asprasi menyelesaikan permasalahan bidang sosial politik ekonomi budaya,40.0,38.0,50.0,42.666666666666664
negara demokrasi negara musyawarah mengatasi permasalahan peran rakyat negara demokrasi sumber suara mengatasi permasalahan mencakup bidang sosial politik ekomomi budaya,48.0,40.0,50.0,46.0
demokrasi negara berasas demo kratos kekuasaan rakyat rakyat rakyat,28.0,25.0,25.0,26.0
demokrasi berasal demos kratosdemokrasi pemerintahan rakyat rakyat rakyat rakyat tokoh utama menjalankan pemerintahan masyarakat berperan bidang dipemerintahan masyarakat langsung pemerintahan demokrasi,33.0,30.0,25.0,29.333333333333332
demokrasi pemerintahan rakyat rakyat rakyat pemerintahan menganut paham demokrasi rakyat berhak mengeluarkan pendapat rakyat pemilihan langsung pemilu,48.0,45.0,50.0,47.666666666666664
negara demokrasi negara bebas berpendapat peran rakyat berpendapat apresiasikan pemilu mencakup bidang pemerintahan politik sosial,63.0,52.0,50.0,55.0
bebas berpendapat,18.0,15.0,25.0,19.333333333333332
pandangan hidup mengutamakan persamaan hak kewajiban perlakuan warga negara bidang politik,20.0,25.0,25.0,23.333333333333332
demokrasi bentuk pemerintahan warga negaranya memiliki hak setara pengambilan keputusan mengubah hidup demokrasi mengizinkan warga negara berpartisipasi langsung perwakilan perumusan pengembangan pembuatan hukum demokrasi mencakup kondisi sosial ekonomi budaya praktik kebebasan politik bebas setara,85.0,75.0,75.0,78.33333333333333
demokrasi kepemimpinan rakyat rakyat rakyat peran rakyat demokrasi pemegang tertinggi kekuasaan pengertian kekuasaan tertinggi ditangan rakyat bidang kekuasaan ditangan rakyat rakyat,48.0,45.0,50.0,47.666666666666664
kerajaan berpusat jawa timur berdiri 1293 1500m pincak kejayaannya pinpin hawam wuruk,0.0,0.0,0.0,1.0
negara demokrasi negara adil warga negaranya,15.0,15.0,10.0,13.333333333333334
negara demokrasi rakyat utamakan,18.0,15.0,25.0,19.333333333333332
negara demokrasi menghargai 1 rakyat berperan pelaku utama negara mencakup sosial politik,37.0,35.0,25.0,32.333333333333336
negara demokrasi negara pimpin presiden negara demokrasi memiliki dewan dewan perwakilan rakyat berguna pelayan masyarakat negara demokrasi memiliki sistem pemerintahan menghargai perbedaan contoh pendapat agama suku timbulnya keirian masyarakatnya,40.0,37.0,50.0,42.333333333333336
negara demokrasi negara dibangun rakyat rakyat bidang dianut bidang,42.0,30.0,50.0,40.666666666666664
eksekutif yudikatif legislatif,0.0,0.0,0.0,1.0
negara demokrasi kekuasaan tertinggi ditangan rakyat rakyat berperan penuh pemerintahan prinsip rakyat rakyat rakyat mencakup bidang,55.0,49.0,50.0,51.333333333333336
negara demokrasi negara berdiri rakyat rakyat rakyat negara pemimpinnya dipilih rakyat pengambilan keputusannya berdasarkan mufakat,45.0,50.0,50.0,48.333333333333336
demokrasi pemerintahan ditebtukan pilihan rakyat warga negara memiliki hak kewajiban peran masyarakat pemerintahan demokrasi aktor penggerak utama sesuai istilah demokrasi berasal rakyat rakyat rakyat peranan rakyat demokrasi bidang sospolhukam,40.0,47.0,50.0,45.666666666666664
negara demokrasi negara menganut ideologi demokrasi beartikan diamana mengizinkan warga negara berpatisipasibaik langsung langsungmelalui media perumusan pembuatan hukum negara pengembangan,60.0,55.0,50.0,55.0
demokrasi sistem pemerintahan negara warganya memiliki hak setara pengambilan keputusan merubah hidup,40.0,35.0,50.0,41.666666666666664
negara kemerdekaan,5.0,0.0,10.0,5.0
negara demokrasi negara menjunjung hak kebebasan individu berkreasi menyalahi aturan,30.0,34.0,25.0,29.666666666666668
