Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
bangsa indonesia kemerdekaannya pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya,60.0,75.0,75.0,70.0
proklamasi bangsa indonesia kemerdrkaan indonesia pemindahan kekuasaan diselenggarakan sesingkat singkatnya jakarta 17845 wakil bangsa indonesia sukarnohatta,88.0,96.0,90.0,91.33333333333333
naskah proklamasi,5.0,5.0,10.0,6.666666666666667
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaaan diselenggarakan seksama tempoh sesingkatsingkatnya,63.0,76.0,75.0,71.33333333333333
bangsa indonesia menjatakan kemerdekaan indonesia halhal jang pemindahan kekoeasaan dll diselenggarakan tjara seksama tempo jang sesingkatsingkatnja djakarta 17 boelan 8 tahoen 05 nama bangsa indonesia soekarnohatta,70.0,86.0,75.0,77.0
proklamasi bangsa indonesia menjatakan kemerdekaan indonesia halhal jang pemindahan kekuasaan dll diselenggarakan tjara seksama tempo jang sesingkatsingkatnja djakarta 17 boelan 8 tahoen 05 nama bangsa indonesia soekarnohatta,60.0,78.0,75.0,71.0
p r o k l a m a s i bangsa indonesia menjatakan kemerdekaan indonesia halhal jang pemindahan kekoeasaan dll diselenggarakan tjara seksama tempo jang sesingkatsingkatnja djakarta 17 boelan 8 tahoen 05 nama bangsa indonesia soekarnohatta,60.0,76.0,75.0,70.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan seksama toempo sesingkatsingkatnnya,70.0,80.0,75.0,75.0
proklamasi bangsa indonesia menyatakn kemerdekaan indonesia pemindahan kekuasaan lainlain seksama tempo sesingkatsingkatnya,70.0,80.0,75.0,75.0
proklamasi bangsa indonesia kemerdekaan indonesiahalhal pemindahan kekuasaan lainlain seksama sesingkatsingkatnya jakarta 17 agustus 1945 soekarno hatta,80.0,95.0,90.0,88.33333333333333
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuaaan dilaksanakan seksama tempo sesingkatsingkatnya,60.0,78.0,75.0,71.0
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan saksama tempo sesingkatsingkatnya djakarta 17 agustus 1945 nama bangsa indonesia soekarnohatta,73.0,85.0,80.0,79.33333333333333
isi teks proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan diselenggarakan seksama tempo sesingkatsingkatnya,60.0,73.0,75.0,69.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkat singkatnya jakarta 17 agustus 1945 nama bangsa indonesia sokarno hatta,70.0,79.0,75.0,74.66666666666667
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya jakarta 17 agustus 1945,80.0,92.0,90.0,87.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain laksanakan seksama tempo sesingkatsingkatnya jakarta 17 agustus 1945 nama soekarnohatta,85.0,97.0,90.0,90.66666666666667
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkatsingkat nya jakarta 17 08 05 nama bangsa indonesia soekarno hatta,75.0,85.0,75.0,78.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya jakarta har 17 8 05 nama bangsa indonesia soekarnohatta,75.0,85.0,75.0,78.33333333333333
proklamasi bangsa indonesia kemerdekaan negara republik indonesia raya,30.0,28.0,25.0,27.666666666666668
proklamasi kemerdekaan hak bangsa karen penjajah diatas dunia dihapuskan sesuai prikemanusiaan prikeadilan pemindahankekuasaan diselenggarakan seksama tempo sesingkat singkatnya,20.0,15.0,25.0,20.0
